location,time,ShakeIntensity,SewerAndWater,Power,RoadsAndBridges,Medical,Buildings
1,2020-04-08T11:30:00Z,2,13,8,25,21,14
1,2020-04-08T11:35:00Z,1,9,5,16,12,6
1,2020-04-08T11:40:00Z,1,14,12,17,13,9
1,2020-04-08T11:45:00Z,1,7,3,19,12,8
1,2020-04-08T11:50:00Z,2,11,9,28,20,14
1,2020-04-08T11:55:00Z,2,14,5,35,23,14
1,2020-04-08T12:00:00Z,1,7,1,11,9,6
1,2020-04-08T12:05:00Z,2,8,5,15,14,11
1,2020-04-08T12:10:00Z,3,19,12,26,25,22
1,2020-04-08T12:15:00Z,1,10,4,20,13,14
1,2020-04-08T12:20:00Z,2,7,3,13,8,6
1,2020-04-08T12:30:00Z,0,2,1,4,3,1
1,2020-04-08T12:35:00Z,1,4,2,13,8,7
1,2020-04-08T12:40:00Z,1,6,3,11,8,4
1,2020-04-08T12:45:00Z,1,12,11,22,17,13
1,2020-04-08T12:50:00Z,-0,8,4,10,8,8
1,2020-04-08T12:55:00Z,2,6,4,13,12,6
1,2020-04-08T13:00:00Z,1,8,4,12,6,4
1,2020-04-08T13:05:00Z,0,3,3,9,6,4
1,2020-04-08T13:10:00Z,0,12,7,6,12,11
1,2020-04-08T13:15:00Z,1,7,3,16,11,5
1,2020-04-08T13:20:00Z,1,11,14,17,17,17
1,2020-04-08T13:35:00Z,2,5,3,9,6,4
1,2020-04-08T13:40:00Z,0,2,1,5,4,2
1,2020-04-08T13:45:00Z,1,7,3,16,13,9
1,2020-04-08T13:50:00Z,0,1,1,4,3,1
1,2020-04-08T13:55:00Z,2,2,1,4,3,2
1,2020-04-08T14:00:00Z,1,1,1,3,3,2
1,2020-04-08T14:05:00Z,0,12,4,7,9,6
1,2020-04-08T14:10:00Z,3,7,6,8,15,10
1,2020-04-08T14:15:00Z,0,8,7,10,8,11
1,2020-04-08T14:25:00Z,1,2,2,4,3,2
1,2020-04-08T14:30:00Z,0,1,9,7,6,1
1,2020-04-08T14:35:00Z,0,8,7,6,13,8
1,2020-04-08T14:40:00Z,1,2,1,6,4,2
1,2020-04-08T14:45:00Z,0,4,3,1,2,1
1,2020-04-08T15:10:00Z,1,3,1,4,3,2
1,2020-04-08T15:30:00Z,0,2,4,9,6,6
1,2020-04-08T15:40:00Z,0,1,2,4,3,3
1,2020-04-08T15:50:00Z,1,3,0,4,4,2
1,2020-04-08T16:05:00Z,-0,2,1,4,3,2
1,2020-04-08T16:15:00Z,1,7,5,10,16,12
1,2020-04-08T16:20:00Z,0,12,12,9,13,3
1,2020-04-08T16:25:00Z,0,9,1,9,1,8
1,2020-04-08T17:15:00Z,0,8,5,4,4,4
1,2020-04-08T17:25:00Z,0,1,1,2,10,7
1,2020-04-08T17:45:00Z,1,3,1,3,2,2
1,2020-04-08T17:50:00Z,0,10,6,10,3,8
1,2020-04-08T18:15:00Z,0,0,1,9,7,5
1,2020-04-08T18:55:00Z,0,7,5,10,7,10
1,2020-04-08T19:50:00Z,0,0,10,5,0,7
1,2020-04-08T20:00:00Z,0,5,9,2,9,10
1,2020-04-08T20:10:00Z,0,2,2,2,7,4
1,2020-04-08T20:15:00Z,0,10,2,10,3,1
1,2020-04-08T20:20:00Z,0,9,8,5,8,5
1,2020-04-08T20:25:00Z,0,17,13,8,12,11
1,2020-04-08T20:40:00Z,0,1,6,10,10,10
1,2020-04-08T20:55:00Z,0,1,7,0,10,4
1,2020-04-08T21:05:00Z,0,5,7,5,3,8
1,2020-04-08T21:10:00Z,0,0,5,4,2,10
1,2020-04-08T21:15:00Z,0,7,0,4,5,2
1,2020-04-08T21:20:00Z,1,9,6,5,9,10
1,2020-04-08T21:45:00Z,0,10,9,10,10,10
1,2020-04-08T22:10:00Z,0,0,8,10,10,8
1,2020-04-08T22:20:00Z,0,4,9,3,0,4
1,2020-04-08T22:25:00Z,0,15,11,17,3,16
1,2020-04-08T22:30:00Z,0,3,3,6,6,5
1,2020-04-08T22:35:00Z,0,6,6,1,4,8
1,2020-04-08T22:45:00Z,0,3,9,6,10,10
1,2020-04-08T22:55:00Z,0,15,2,6,15,8
1,2020-04-08T23:05:00Z,0,4,3,2,1,1
2,2020-04-08T00:05:00Z,1,10,21,17,0,14
2,2020-04-08T00:20:00Z,0,7,1,9,0,8
2,2020-04-08T00:45:00Z,0,15,7,19,0,3
2,2020-04-08T00:50:00Z,0,5,10,0,0,1
2,2020-04-08T01:00:00Z,0,0,4,9,0,8
2,2020-04-08T01:05:00Z,0,11,16,5,3,15
2,2020-04-08T01:10:00Z,0,8,14,18,0,9
2,2020-04-08T01:20:00Z,0,6,3,7,0,5
2,2020-04-08T01:35:00Z,0,5,3,0,0,0
2,2020-04-08T01:40:00Z,0,10,15,15,0,7
2,2020-04-08T01:45:00Z,0,9,14,17,0,21
2,2020-04-08T01:50:00Z,0,11,12,17,0,10
2,2020-04-08T02:05:00Z,0,8,7,1,0,7
2,2020-04-08T02:15:00Z,0,6,10,7,0,7
2,2020-04-08T02:20:00Z,0,7,7,2,0,2
2,2020-04-08T02:30:00Z,0,6,11,1,0,10
2,2020-04-08T02:35:00Z,0,8,2,7,0,8
2,2020-04-08T02:40:00Z,0,3,10,5,0,9
2,2020-04-08T02:45:00Z,0,10,9,3,0,10
2,2020-04-08T02:50:00Z,0,1,7,9,0,10
2,2020-04-08T02:55:00Z,0,11,12,12,0,10
2,2020-04-08T03:10:00Z,0,10,17,20,0,5
2,2020-04-08T03:15:00Z,0,9,10,8,0,8
2,2020-04-08T03:20:00Z,0,16,3,15,0,17
2,2020-04-08T03:25:00Z,0,8,13,2,0,10
2,2020-04-08T03:30:00Z,0,7,10,1,0,5
2,2020-04-08T03:55:00Z,0,5,10,10,0,1
2,2020-04-08T04:05:00Z,0,10,4,18,0,9
2,2020-04-08T04:10:00Z,0,21,19,17,0,16
2,2020-04-08T04:20:00Z,1,3,9,8,0,5
2,2020-04-08T04:35:00Z,0,8,3,2,0,5
2,2020-04-08T04:45:00Z,0,10,6,0,0,3
2,2020-04-08T05:20:00Z,0,10,3,8,0,6
2,2020-04-08T05:40:00Z,0,3,16,5,0,7
2,2020-04-08T05:45:00Z,0,12,7,7,0,12
2,2020-04-08T05:50:00Z,0,13,12,6,0,11
2,2020-04-08T05:55:00Z,0,3,10,9,0,9
2,2020-04-08T06:00:00Z,1,4,5,13,0,14
2,2020-04-08T06:20:00Z,0,10,5,9,0,10
2,2020-04-08T06:25:00Z,0,3,8,1,0,2
2,2020-04-08T06:30:00Z,0,13,8,10,0,13
2,2020-04-08T06:35:00Z,0,5,10,6,0,6
2,2020-04-08T06:40:00Z,0,2,2,3,0,6
2,2020-04-08T06:55:00Z,0,12,20,11,0,16
2,2020-04-08T07:15:00Z,0,10,9,3,0,8
2,2020-04-08T07:20:00Z,0,1,8,5,0,12
2,2020-04-08T07:25:00Z,0,11,18,20,0,17
2,2020-04-08T07:30:00Z,0,3,9,1,0,6
2,2020-04-08T07:35:00Z,0,1,3,8,0,10
2,2020-04-08T07:40:00Z,0,4,10,7,0,4
2,2020-04-08T07:45:00Z,0,10,10,18,0,4
2,2020-04-08T07:50:00Z,0,2,10,10,0,2
2,2020-04-08T07:55:00Z,0,2,5,9,0,4
2,2020-04-08T08:05:00Z,1,1,3,7,0,8
2,2020-04-08T08:10:00Z,0,4,4,7,0,5
2,2020-04-08T08:30:00Z,0,4,2,2,0,8
2,2020-04-08T08:35:00Z,4,64,79,93,0,31
2,2020-04-08T08:40:00Z,4,214,282,356,7,71
2,2020-04-08T08:45:00Z,4,230,314,390,3,87
2,2020-04-08T08:50:00Z,4,242,320,391,8,91
2,2020-04-08T08:55:00Z,4,292,410,508,10,111
2,2020-04-08T09:00:00Z,4,323,432,527,14,133
2,2020-04-08T09:05:00Z,4,262,364,449,10,85
2,2020-04-08T09:10:00Z,3,277,359,440,26,93
2,2020-04-08T09:15:00Z,4,376,502,617,0,118
2,2020-04-08T09:20:00Z,4,296,387,510,19,97
2,2020-04-08T09:25:00Z,4,354,469,613,14,136
2,2020-04-08T09:30:00Z,3,285,378,472,10,96
2,2020-04-08T09:35:00Z,3,291,395,488,3,97
2,2020-04-08T09:40:00Z,3,252,346,419,13,83
2,2020-04-08T09:45:00Z,3,268,353,449,4,99
2,2020-04-08T09:50:00Z,3,277,354,433,14,99
2,2020-04-08T09:55:00Z,4,148,191,245,0,48
2,2020-04-08T10:00:00Z,4,259,339,430,7,86
2,2020-04-08T10:05:00Z,4,206,291,353,13,66
2,2020-04-08T10:10:00Z,3,198,275,338,3,73
2,2020-04-08T10:15:00Z,3,171,245,302,0,58
2,2020-04-08T10:20:00Z,4,222,286,368,0,82
2,2020-04-08T10:25:00Z,3,206,269,338,0,76
2,2020-04-08T10:30:00Z,3,222,298,370,0,62
2,2020-04-08T10:35:00Z,4,228,276,338,35,79
2,2020-04-08T10:40:00Z,4,199,257,332,3,73
2,2020-04-08T10:45:00Z,4,185,237,287,6,60
2,2020-04-08T10:50:00Z,4,178,226,291,2,52
2,2020-04-08T10:55:00Z,4,167,221,277,0,54
2,2020-04-08T11:00:00Z,4,194,257,306,10,75
2,2020-04-08T11:05:00Z,3,145,196,238,7,54
2,2020-04-08T11:10:00Z,4,195,250,306,0,72
2,2020-04-08T11:15:00Z,3,130,168,223,0,43
2,2020-04-08T11:20:00Z,3,139,190,253,0,54
2,2020-04-08T11:25:00Z,3,155,202,253,0,47
2,2020-04-08T11:30:00Z,4,110,138,187,0,31
2,2020-04-08T11:35:00Z,4,140,187,226,0,48
2,2020-04-08T11:40:00Z,3,115,134,181,3,39
2,2020-04-08T11:45:00Z,3,103,142,171,0,29
2,2020-04-08T11:50:00Z,3,104,132,161,1,36
2,2020-04-08T11:55:00Z,3,78,111,128,0,34
2,2020-04-08T12:00:00Z,3,73,90,114,0,23
2,2020-04-08T12:05:00Z,3,91,132,152,12,46
2,2020-04-08T12:10:00Z,3,58,66,84,2,22
2,2020-04-08T12:15:00Z,3,59,75,87,0,26
2,2020-04-08T12:20:00Z,3,50,64,77,0,12
2,2020-04-08T12:25:00Z,3,73,110,132,0,24
2,2020-04-08T12:30:00Z,3,75,90,110,0,29
2,2020-04-08T12:35:00Z,3,77,95,116,0,21
2,2020-04-08T12:40:00Z,3,62,81,104,0,14
2,2020-04-08T12:45:00Z,3,39,43,64,0,25
2,2020-04-08T12:50:00Z,4,61,73,99,4,24
2,2020-04-08T12:55:00Z,3,55,62,89,0,22
2,2020-04-08T13:00:00Z,3,53,65,80,0,26
2,2020-04-08T13:05:00Z,3,42,54,74,0,14
2,2020-04-08T13:10:00Z,3,30,42,50,0,10
2,2020-04-08T13:15:00Z,3,47,56,62,0,15
2,2020-04-08T13:20:00Z,4,70,87,99,1,29
2,2020-04-08T13:25:00Z,3,47,62,81,6,22
2,2020-04-08T13:30:00Z,3,33,42,59,0,13
2,2020-04-08T13:35:00Z,3,33,42,48,4,8
2,2020-04-08T13:40:00Z,3,28,40,46,0,13
2,2020-04-08T13:45:00Z,3,34,45,57,9,20
2,2020-04-08T13:50:00Z,3,21,28,38,0,5
2,2020-04-08T13:55:00Z,4,22,36,43,8,9
2,2020-04-08T14:00:00Z,2,23,32,28,0,19
2,2020-04-08T14:05:00Z,4,20,26,35,0,7
2,2020-04-08T14:10:00Z,3,39,35,44,0,23
2,2020-04-08T14:15:00Z,3,23,22,31,0,16
2,2020-04-08T14:20:00Z,3,23,29,34,0,13
2,2020-04-08T14:25:00Z,2,8,11,16,0,4
2,2020-04-08T14:30:00Z,2,3,3,5,0,2
2,2020-04-08T14:35:00Z,2,16,20,25,0,5
2,2020-04-08T14:40:00Z,1,5,8,8,0,4
2,2020-04-08T14:45:00Z,0,13,3,13,0,6
2,2020-04-08T14:50:00Z,3,20,17,25,0,5
2,2020-04-08T14:55:00Z,3,8,13,15,0,0
2,2020-04-08T15:00:00Z,2,11,12,16,0,4
2,2020-04-08T15:05:00Z,1,10,12,17,2,4
2,2020-04-08T15:10:00Z,1,13,19,16,0,2
2,2020-04-08T15:15:00Z,-0,2,5,5,0,1
2,2020-04-08T15:20:00Z,3,29,30,38,0,13
2,2020-04-08T15:25:00Z,4,6,8,10,0,3
2,2020-04-08T15:30:00Z,3,14,12,23,9,5
2,2020-04-08T15:35:00Z,3,15,17,21,0,5
2,2020-04-08T15:40:00Z,-0,3,5,5,0,1
2,2020-04-08T15:45:00Z,1,11,11,8,0,8
2,2020-04-08T15:50:00Z,0,4,17,19,0,8
2,2020-04-08T15:55:00Z,3,11,10,7,0,0
2,2020-04-08T16:00:00Z,2,9,13,17,0,4
2,2020-04-08T16:05:00Z,3,11,8,14,1,12
2,2020-04-08T16:10:00Z,0,28,20,21,0,17
2,2020-04-08T16:15:00Z,3,9,9,13,0,1
2,2020-04-08T16:20:00Z,0,3,7,9,0,7
2,2020-04-08T16:25:00Z,2,12,14,22,0,13
2,2020-04-08T16:30:00Z,3,17,18,18,0,8
2,2020-04-08T16:35:00Z,2,10,16,21,0,5
2,2020-04-08T16:40:00Z,3,12,9,10,0,2
2,2020-04-08T16:45:00Z,2,17,14,15,0,10
2,2020-04-08T16:50:00Z,3,15,14,20,0,5
2,2020-04-08T16:55:00Z,1,15,20,22,0,17
2,2020-04-08T17:00:00Z,3,14,18,14,0,11
2,2020-04-08T17:05:00Z,2,8,7,16,0,3
2,2020-04-08T17:10:00Z,2,8,14,13,0,2
2,2020-04-08T17:20:00Z,0,3,4,5,0,0
2,2020-04-08T17:25:00Z,1,4,3,6,0,2
2,2020-04-08T17:30:00Z,1,13,18,20,0,21
2,2020-04-08T17:45:00Z,0,3,2,0,0,4
2,2020-04-08T17:55:00Z,1,3,4,5,0,1
2,2020-04-08T18:05:00Z,1,3,4,5,0,1
2,2020-04-08T18:10:00Z,0,0,10,7,0,9
2,2020-04-08T18:20:00Z,0,12,10,5,0,11
2,2020-04-08T18:25:00Z,0,5,22,14,0,13
2,2020-04-08T18:30:00Z,0,3,5,6,0,0
2,2020-04-08T18:40:00Z,2,2,3,4,0,1
2,2020-04-08T18:45:00Z,2,5,9,11,0,3
2,2020-04-08T18:55:00Z,1,4,12,5,0,3
2,2020-04-08T19:00:00Z,0,9,9,9,0,10
2,2020-04-08T19:05:00Z,0,15,11,15,4,13
2,2020-04-08T19:10:00Z,1,3,6,9,0,0
2,2020-04-08T19:15:00Z,2,10,7,14,0,7
2,2020-04-08T19:20:00Z,0,3,10,7,0,8
2,2020-04-08T19:30:00Z,2,4,5,5,0,0
2,2020-04-08T19:45:00Z,1,2,11,11,0,8
2,2020-04-08T20:10:00Z,1,6,17,11,0,8
2,2020-04-08T20:15:00Z,0,8,3,9,0,0
2,2020-04-08T20:20:00Z,0,6,3,6,0,7
2,2020-04-08T20:25:00Z,1,12,20,21,0,16
2,2020-04-08T20:35:00Z,0,8,10,15,0,13
2,2020-04-08T20:40:00Z,0,6,17,12,0,4
2,2020-04-08T21:00:00Z,0,8,9,17,0,13
2,2020-04-08T21:05:00Z,0,17,21,22,0,15
2,2020-04-08T21:10:00Z,0,10,3,15,0,12
2,2020-04-08T21:15:00Z,0,10,9,1,0,3
2,2020-04-08T21:20:00Z,0,8,1,7,0,5
2,2020-04-08T21:25:00Z,0,18,16,13,0,2
2,2020-04-08T21:35:00Z,0,2,6,1,0,4
2,2020-04-08T21:40:00Z,0,10,5,8,0,6
2,2020-04-08T21:45:00Z,0,5,1,2,0,0
2,2020-04-08T21:50:00Z,0,10,14,3,0,14
2,2020-04-08T22:00:00Z,0,8,9,6,0,1
2,2020-04-08T22:05:00Z,0,2,3,10,0,10
2,2020-04-08T22:10:00Z,0,20,11,13,0,11
2,2020-04-08T22:15:00Z,0,4,10,5,0,0
2,2020-04-08T22:30:00Z,0,2,0,10,0,7
2,2020-04-08T22:35:00Z,0,2,0,10,0,1
2,2020-04-08T22:40:00Z,0,14,8,11,0,11
2,2020-04-08T22:50:00Z,1,10,13,12,0,10
2,2020-04-08T22:55:00Z,0,5,10,8,0,9
2,2020-04-08T23:10:00Z,0,5,13,16,0,8
2,2020-04-08T23:15:00Z,0,5,10,7,0,5
2,2020-04-08T23:30:00Z,0,10,4,8,0,10
3,2020-04-08T00:05:00Z,0,6,3,9,5,1
3,2020-04-08T00:25:00Z,1,1,4,4,10,18
3,2020-04-08T00:30:00Z,0,3,11,12,11,14
3,2020-04-08T00:35:00Z,0,2,3,9,7,8
3,2020-04-08T00:45:00Z,0,4,3,10,0,1
3,2020-04-08T01:00:00Z,0,9,10,1,10,1
3,2020-04-08T01:20:00Z,0,5,19,8,17,0
3,2020-04-08T01:30:00Z,0,5,6,8,7,1
3,2020-04-08T01:40:00Z,0,10,0,10,3,5
3,2020-04-08T01:55:00Z,0,10,2,10,1,10
3,2020-04-08T02:00:00Z,0,9,5,3,4,9
3,2020-04-08T02:15:00Z,0,0,0,8,10,7
3,2020-04-08T02:30:00Z,0,10,1,5,6,6
3,2020-04-08T02:35:00Z,0,7,0,10,2,1
3,2020-04-08T02:40:00Z,0,7,0,6,5,7
3,2020-04-08T02:55:00Z,0,6,3,0,10,0
3,2020-04-08T03:05:00Z,0,4,5,4,7,2
3,2020-04-08T03:20:00Z,0,10,17,12,5,9
3,2020-04-08T03:25:00Z,0,10,12,11,14,8
3,2020-04-08T03:35:00Z,0,10,0,0,5,1
3,2020-04-08T04:05:00Z,0,6,4,10,10,7
3,2020-04-08T04:15:00Z,0,10,2,10,5,1
3,2020-04-08T04:20:00Z,0,1,8,3,6,1
3,2020-04-08T04:25:00Z,0,15,16,12,14,10
3,2020-04-08T04:40:00Z,0,6,6,6,8,4
3,2020-04-08T04:45:00Z,0,6,8,0,3,5
3,2020-04-08T04:50:00Z,0,3,8,2,10,5
3,2020-04-08T05:00:00Z,0,8,6,10,9,10
3,2020-04-08T05:05:00Z,0,2,9,1,3,5
3,2020-04-08T05:10:00Z,0,11,0,4,18,14
3,2020-04-08T05:15:00Z,0,7,8,6,2,9
3,2020-04-08T05:30:00Z,0,10,6,9,3,4
3,2020-04-08T05:45:00Z,0,5,5,0,10,8
3,2020-04-08T06:00:00Z,0,7,0,0,7,4
3,2020-04-08T06:15:00Z,0,5,7,10,8,7
3,2020-04-08T06:30:00Z,0,4,1,9,10,10
3,2020-04-08T06:35:00Z,0,0,8,4,10,10
3,2020-04-08T06:45:00Z,0,15,16,13,18,6
3,2020-04-08T06:50:00Z,1,1,9,4,10,2
3,2020-04-08T06:55:00Z,0,10,9,3,1,10
3,2020-04-08T07:00:00Z,0,1,3,5,7,2
3,2020-04-08T07:20:00Z,0,14,15,13,13,18
3,2020-04-08T07:30:00Z,0,10,22,12,17,14
3,2020-04-08T07:50:00Z,0,2,6,9,5,10
3,2020-04-08T07:55:00Z,0,6,7,3,4,10
3,2020-04-08T08:10:00Z,0,2,8,15,7,11
3,2020-04-08T08:20:00Z,1,19,7,3,9,3
3,2020-04-08T08:30:00Z,0,14,14,11,2,9
3,2020-04-08T08:35:00Z,8,1353,1816,1379,1593,1151
3,2020-04-08T08:40:00Z,8,3102,4080,3074,3558,2560
3,2020-04-08T08:45:00Z,9,2975,3980,2983,3489,2527
3,2020-04-08T08:50:00Z,8,2841,3753,2831,3303,2371
3,2020-04-08T08:55:00Z,8,2937,3886,2895,3406,2424
3,2020-04-08T09:00:00Z,8,2595,3482,2630,3047,2185
3,2020-04-08T09:05:00Z,8,2660,3519,2625,3078,2204
3,2020-04-08T09:10:00Z,8,2433,3220,2442,2857,2026
3,2020-04-08T09:15:00Z,8,2777,3588,2761,3175,2316
4,2020-04-08T00:20:00Z,0,3,2,10,0,4
4,2020-04-08T00:50:00Z,0,16,18,9,0,14
4,2020-04-08T01:10:00Z,0,1,5,10,0,5
4,2020-04-08T01:50:00Z,0,6,2,8,0,6
4,2020-04-08T02:00:00Z,0,3,2,4,0,9
4,2020-04-08T02:30:00Z,0,5,0,0,0,5
4,2020-04-08T02:45:00Z,0,10,7,0,0,5
4,2020-04-08T03:00:00Z,0,8,9,6,0,10
4,2020-04-08T03:15:00Z,0,8,3,11,0,17
4,2020-04-08T03:50:00Z,0,2,10,9,0,4
4,2020-04-08T03:55:00Z,0,9,2,9,0,6
4,2020-04-08T04:00:00Z,0,1,5,2,0,4
4,2020-04-08T04:15:00Z,0,2,2,3,0,3
4,2020-04-08T04:55:00Z,0,6,4,5,6,9
4,2020-04-08T05:35:00Z,0,8,2,10,0,0
4,2020-04-08T06:00:00Z,0,10,1,10,0,9
4,2020-04-08T06:10:00Z,0,5,19,15,0,14
4,2020-04-08T06:35:00Z,0,17,10,9,0,12
4,2020-04-08T07:45:00Z,0,0,2,2,0,5
4,2020-04-08T07:50:00Z,0,5,7,10,0,4
4,2020-04-08T08:20:00Z,0,14,8,19,0,11
4,2020-04-08T08:35:00Z,7,10,10,13,0,8
4,2020-04-08T08:40:00Z,8,45,40,42,0,21
4,2020-04-08T08:45:00Z,8,93,66,63,0,42
4,2020-04-08T08:50:00Z,8,108,85,90,1,54
4,2020-04-08T08:55:00Z,7,97,73,74,7,50
4,2020-04-08T09:00:00Z,7,192,133,141,0,104
4,2020-04-08T09:05:00Z,7,210,163,162,9,123
4,2020-04-08T09:10:00Z,8,254,198,210,2,165
4,2020-04-08T09:15:00Z,7,258,214,205,13,168
4,2020-04-08T09:20:00Z,7,202,163,161,0,116
4,2020-04-08T09:25:00Z,7,324,262,251,0,193
4,2020-04-08T09:30:00Z,8,206,164,163,14,119
4,2020-04-08T09:35:00Z,7,262,214,218,8,153
4,2020-04-08T09:40:00Z,8,257,195,193,8,146
4,2020-04-08T09:45:00Z,8,215,167,162,0,119
4,2020-04-08T09:50:00Z,7,200,168,155,0,129
4,2020-04-08T09:55:00Z,8,223,180,178,10,134
4,2020-04-08T10:00:00Z,7,230,179,181,0,132
4,2020-04-08T10:05:00Z,7,213,166,163,3,131
4,2020-04-08T10:10:00Z,7,178,136,129,0,104
4,2020-04-08T10:15:00Z,7,314,266,255,0,187
4,2020-04-08T10:20:00Z,8,236,190,201,7,140
4,2020-04-08T10:25:00Z,7,206,169,159,0,133
4,2020-04-08T10:30:00Z,7,200,158,169,7,139
4,2020-04-08T10:35:00Z,7,142,113,113,0,91
4,2020-04-08T10:40:00Z,7,132,112,107,0,82
4,2020-04-08T10:45:00Z,7,123,105,110,6,76
4,2020-04-08T10:50:00Z,9,214,162,163,0,117
4,2020-04-08T10:55:00Z,7,122,96,93,1,71
4,2020-04-08T11:00:00Z,8,155,125,124,0,92
4,2020-04-08T11:05:00Z,7,106,83,87,10,64
4,2020-04-08T11:10:00Z,6,119,89,95,0,67
4,2020-04-08T11:15:00Z,7,145,115,117,0,85
4,2020-04-08T11:20:00Z,7,122,104,98,6,62
4,2020-04-08T11:25:00Z,8,94,74,76,7,62
4,2020-04-08T11:30:00Z,7,88,71,74,8,51
4,2020-04-08T11:35:00Z,7,64,45,49,0,31
4,2020-04-08T11:40:00Z,7,114,93,87,9,67
4,2020-04-08T11:45:00Z,7,96,80,82,0,61
4,2020-04-08T11:50:00Z,8,74,59,59,0,42
4,2020-04-08T11:55:00Z,7,74,60,63,0,47
4,2020-04-08T12:00:00Z,7,71,54,59,2,42
4,2020-04-08T12:05:00Z,6,39,27,27,0,22
4,2020-04-08T12:10:00Z,7,61,45,41,0,36
4,2020-04-08T12:15:00Z,7,93,68,72,0,55
4,2020-04-08T12:20:00Z,7,62,49,46,0,41
4,2020-04-08T12:25:00Z,8,63,50,54,3,41
4,2020-04-08T12:30:00Z,7,71,55,53,0,39
4,2020-04-08T12:35:00Z,7,66,54,54,0,44
4,2020-04-08T12:40:00Z,7,63,51,51,0,38
4,2020-04-08T12:45:00Z,7,58,42,45,0,32
4,2020-04-08T12:50:00Z,6,53,45,37,0,30
4,2020-04-08T12:55:00Z,7,83,59,63,0,48
4,2020-04-08T13:00:00Z,8,58,49,47,0,31
4,2020-04-08T13:05:00Z,7,60,45,42,0,36
4,2020-04-08T13:10:00Z,7,32,35,34,0,32
4,2020-04-08T13:15:00Z,6,35,29,33,0,22
4,2020-04-08T13:20:00Z,6,40,36,42,0,27
4,2020-04-08T13:25:00Z,8,61,43,43,0,30
4,2020-04-08T13:30:00Z,7,57,48,40,4,36
4,2020-04-08T13:35:00Z,7,34,28,31,0,21
4,2020-04-08T13:40:00Z,6,12,7,8,0,4
4,2020-04-08T13:45:00Z,7,29,20,16,0,16
