time_5min,location,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,count
2020-04-06T01:20:00Z,9,0,7,2,2,4,0,1
2020-04-06T01:20:00Z,11,10,0,7,6,6,0,1
2020-04-06T01:20:00Z,15,4,9,10,NA,6,1,1
2020-04-06T01:25:00Z,1,5,0,6,3,6,1,1
2020-04-06T01:25:00Z,9,6,2,7,3,8,0,1
2020-04-06T01:25:00Z,12,10,5,2,NA,4,0,1
2020-04-06T01:25:00Z,14,4.5,7.5,6,NA,2.5,0,2
2020-04-06T01:25:00Z,18,4,10,10,NA,10,0,1
2020-04-06T01:30:00Z,3,5,10,7,6,5,0,1
2020-04-06T01:30:00Z,6,2,1,2,8,7,0,1
2020-04-06T01:30:00Z,11,10,4,2,6,7,0,1
2020-04-06T01:30:00Z,19,8,7,1,NA,2,0,1
2020-04-06T01:35:00Z,1,9,10,2,4,0,0,1
2020-04-06T01:35:00Z,5,2,3,5,4,10,0,1
2020-04-06T01:35:00Z,6,6,3,10,7,2,0,1
2020-04-06T01:35:00Z,11,2,9,10,10,4,0,1
2020-04-06T01:35:00Z,12,1,10,7,NA,3,0,1
2020-04-06T01:35:00Z,18,2,10,7,NA,8,0,1
2020-04-06T01:40:00Z,2,5,3,6,NA,4,0,1
2020-04-06T01:40:00Z,3,1,4.5,5,6.5,5.5,0,2
2020-04-06T01:40:00Z,10,1,7,7,NA,7,0,1
2020-04-06T01:40:00Z,15,5.5,9,5,NA,6,0.5,2
2020-04-06T01:45:00Z,2,4.5,2,4,NA,5.5,0.5,2
2020-04-06T01:45:00Z,3,6.5,0,7.5,3.5,5.5,0,2
2020-04-06T01:45:00Z,8,8,8,10,NA,10,0,1
2020-04-06T01:50:00Z,2,6,3,9,NA,0,1,1
2020-04-06T01:50:00Z,3,9,2.5,6,3.5,9,0,2
2020-04-06T01:50:00Z,5,9,7,0,5,5,0,1
2020-04-06T01:50:00Z,8,5.666666666666667,4,7.333333333333333,NA,7.333333333333333,0.3333333333333333,3
2020-04-06T01:50:00Z,9,4,1,6,7,10,0,1
2020-04-06T01:50:00Z,19,8,7,3,NA,8,0,1
2020-04-06T01:55:00Z,2,4,1,7,NA,4,0,1
2020-04-06T01:55:00Z,8,6,4.5,0.5,NA,10,0,2
2020-04-06T01:55:00Z,9,5.25,4.5,5.5,5.25,7.5,0,4
2020-04-06T01:55:00Z,15,7,5.5,4,NA,3.5,0,2
2020-04-06T01:55:00Z,18,10,1,6,NA,0,0,1
2020-04-06T02:00:00Z,1,6,1,0,10,10,0,1
2020-04-06T02:00:00Z,19,10,2,9,NA,1,0,1
2020-04-06T02:05:00Z,2,1.5,8.5,5.5,NA,5,0,2
2020-04-06T02:05:00Z,4,10,8,8,NA,0,0,1
2020-04-06T02:05:00Z,9,9,10,5,10,1,0,1
2020-04-06T02:05:00Z,11,7.5,5,9,3,5.5,0,2
2020-04-06T02:05:00Z,14,1,5,1,NA,0,0,1
2020-04-06T02:05:00Z,15,5.5,6.5,9,NA,9,0,2
2020-04-06T02:10:00Z,2,6,9,5,NA,5,0,1
2020-04-06T02:10:00Z,3,10,0,2,0,6,0,1
2020-04-06T02:10:00Z,6,3,4,0,2,10,0,1
2020-04-06T02:10:00Z,8,9,2.5,8,NA,9.5,0,2
2020-04-06T02:10:00Z,15,0,3,9,NA,9,0,1
2020-04-06T02:15:00Z,1,6,9,4.5,7.5,5.5,0,2
2020-04-06T02:15:00Z,6,9,7,6.5,6.5,3.5,0,2
2020-04-06T02:15:00Z,8,7,8,10,NA,6,0,1
2020-04-06T02:15:00Z,10,8,10,4,NA,6,0,1
2020-04-06T02:15:00Z,13,9,7,10,NA,0,0,1
2020-04-06T02:15:00Z,15,4,0,0,NA,10,0,1
2020-04-06T02:15:00Z,18,10,10,5,NA,0,0,1
2020-04-06T02:20:00Z,1,3,0,10,10,6,0,1
2020-04-06T02:20:00Z,2,2,4,4,NA,2,0,1
2020-04-06T02:20:00Z,3,3.5,3.5,3.5,6.5,1.5,0,2
2020-04-06T02:20:00Z,6,7.5,7.5,7.5,3,10,0,2
2020-04-06T02:20:00Z,9,10,10,0,2,10,0,1
2020-04-06T02:20:00Z,12,6,10,10,NA,1,0,1
2020-04-06T02:25:00Z,1,4,9,3.5,7.5,7,0,2
2020-04-06T02:25:00Z,3,4,10,10,5,3,0,1
2020-04-06T02:25:00Z,4,10,10,8,NA,10,0,1
2020-04-06T02:25:00Z,10,5,0,10,NA,7,0,1
2020-04-06T02:25:00Z,11,10,7,7,9,9,1,1
2020-04-06T02:25:00Z,14,8,10,10,NA,2,0,1
2020-04-06T02:25:00Z,19,9,6,9,NA,0,0,1
2020-04-06T02:30:00Z,1,5,0,4,4,10,0,1
2020-04-06T02:30:00Z,3,7,0,4,8,3,0,1
2020-04-06T02:30:00Z,8,3,1,5,NA,8,0,1
2020-04-06T02:30:00Z,9,10,1,4,3,8,0,1
2020-04-06T02:30:00Z,12,7,10,7,NA,10,1,1
2020-04-06T02:30:00Z,19,5,6,2,NA,10,0,1
2020-04-06T02:35:00Z,4,5,8,2,NA,10,0,1
2020-04-06T02:35:00Z,6,1,4,2.5,3.5,8.5,0,2
2020-04-06T02:35:00Z,8,3.5,7.5,3,NA,3.75,0.25,4
2020-04-06T02:35:00Z,9,5,8,7,7.5,4.5,0,2
2020-04-06T02:35:00Z,15,0,1,2,NA,3,0,1
2020-04-06T02:35:00Z,19,8,10,6,NA,1,0,1
2020-04-06T02:40:00Z,2,0,3,10,NA,1,0,1
2020-04-06T02:40:00Z,3,10,3,4,10,8,0,1
2020-04-06T02:40:00Z,6,8,5,2,10,7,1,1
2020-04-06T02:40:00Z,8,5,3,6,NA,10,0,1
2020-04-06T02:40:00Z,9,10,10,5,1,8,0,1
2020-04-06T02:40:00Z,14,5,5,10,NA,4,0,1
2020-04-06T02:40:00Z,16,10,10,10,0,9,0,1
2020-04-06T02:45:00Z,2,9.5,5,9,2,5.5,0,2
2020-04-06T02:45:00Z,6,7,10,0,0,10,0,1
2020-04-06T02:45:00Z,11,6,5,6,10,10,0,1
2020-04-06T02:45:00Z,15,0,0,8,NA,7,0,1
2020-04-06T02:45:00Z,19,7,4,2,NA,8,0,1
2020-04-06T02:50:00Z,5,7,7,5,10,8,0,1
2020-04-06T02:50:00Z,6,6,6,5,5.5,7,0,2
2020-04-06T02:50:00Z,8,6,10,10,NA,5,1,1
2020-04-06T02:50:00Z,9,4,7,9.5,6.5,7,0,2
2020-04-06T02:50:00Z,10,0,1,0,NA,7,0,1
2020-04-06T02:50:00Z,11,0,1,8,0,3,0,1
2020-04-06T02:50:00Z,15,6.333333333333333,5.666666666666667,6.333333333333333,NA,8.333333333333334,0,3
2020-04-06T02:55:00Z,2,10,10,10,NA,5,0,1
2020-04-06T02:55:00Z,6,6,3,9,1,10,0,1
2020-04-06T02:55:00Z,9,7,7,3.5,1.5,6,0,2
2020-04-06T02:55:00Z,11,10,3,1,5,4,0,1
2020-04-06T02:55:00Z,12,3,8,7,NA,0,0,1
2020-04-06T02:55:00Z,15,1,1,8,NA,4,0,1
2020-04-06T02:55:00Z,16,10,0,3,10,10,0,1
2020-04-06T03:00:00Z,1,10,2,0,10,10,0,1
2020-04-06T03:00:00Z,2,2.6666666666666665,3.3333333333333335,7.333333333333333,NA,3.6666666666666665,0.3333333333333333,3
2020-04-06T03:00:00Z,3,4,10,3,2,2,0,1
2020-04-06T03:00:00Z,5,4,2,2,7,1,0,1
2020-04-06T03:00:00Z,6,9,3,2,4,2,0,1
2020-04-06T03:00:00Z,8,0,7,5,NA,0,0,1
2020-04-06T03:00:00Z,11,3,1,8,3,3,0,1
2020-04-06T03:00:00Z,12,3,9,5,NA,1,0,1
2020-04-06T03:00:00Z,14,8,8,1,NA,5,0,1
2020-04-06T03:00:00Z,15,7,6,7,NA,4,1,1
2020-04-06T03:00:00Z,19,2,10,10,NA,7,0,1
2020-04-06T03:05:00Z,1,4,9,8,8,7,0,1
2020-04-06T03:05:00Z,2,10,2,1,NA,4,0,1
2020-04-06T03:05:00Z,3,5,8,2.5,9,4,0.5,2
2020-04-06T03:05:00Z,6,6.5,9.5,8,7,9.5,0,2
2020-04-06T03:05:00Z,8,0,9,4,NA,3,0,1
2020-04-06T03:05:00Z,9,0,9,8,6,10,0,1
2020-04-06T03:10:00Z,2,10,4,5,NA,10,0,1
2020-04-06T03:10:00Z,6,7.5,2,4,7.5,3.5,0,2
2020-04-06T03:10:00Z,14,10,3,6,NA,2,0,1
2020-04-06T03:10:00Z,15,4,4,0,NA,6,0,1
2020-04-06T03:10:00Z,18,0,6,10,NA,1,0,1
2020-04-06T03:15:00Z,2,6,7,7,NA,9,0,1
2020-04-06T03:15:00Z,6,5,9,10,2,10,0,1
2020-04-06T03:15:00Z,8,7.5,2.5,7.5,NA,6,0,2
2020-04-06T03:15:00Z,9,10,10,10,2,6,0,1
2020-04-06T03:15:00Z,15,3,6,0,NA,7,0,1
2020-04-06T03:15:00Z,18,7,5,7,NA,10,0,1
2020-04-06T03:20:00Z,2,4,9,8,NA,7,0,1
2020-04-06T03:20:00Z,6,7,0,0,10,9,0,1
2020-04-06T03:20:00Z,8,7,10,2,NA,5,0,1
2020-04-06T03:20:00Z,10,0,8,10,NA,10,0,1
2020-04-06T03:20:00Z,15,1,5,5,NA,4,0,1
2020-04-06T03:25:00Z,2,4,0,1,NA,3,0,1
2020-04-06T03:25:00Z,5,10,1,2,10,4,0,1
2020-04-06T03:25:00Z,6,8.5,5.5,6.5,5,5.5,0.5,2
2020-04-06T03:30:00Z,2,3,1,7,NA,9,0,1
2020-04-06T03:30:00Z,6,4,8,6,2,2,0,1
2020-04-06T03:35:00Z,2,10,0,3,NA,9,0,1
2020-04-06T03:35:00Z,3,5.5,1,5,5,10,0,2
2020-04-06T03:35:00Z,9,6.5,4.5,3.5,9,9,0,2
2020-04-06T03:35:00Z,12,4,5,10,NA,7,0,1
2020-04-06T03:35:00Z,15,7,6,1,NA,8,1,1
2020-04-06T03:35:00Z,16,10,8,1,10,9,0,1
2020-04-06T03:40:00Z,2,4,3,6,NA,8,1,1
2020-04-06T03:40:00Z,5,8,8,2,8,10,0,1
2020-04-06T03:40:00Z,6,10,8,1,5,10,0,1
2020-04-06T03:40:00Z,8,5,2,8.5,NA,4.5,0.5,2
2020-04-06T03:40:00Z,9,1,10,5,9,7,0,1
2020-04-06T03:40:00Z,16,4,2,2,3,2,1,1
2020-04-06T03:40:00Z,19,0,4,1,NA,1,0,1
2020-04-06T03:45:00Z,3,2,7,0,2,1,0,1
2020-04-06T03:45:00Z,4,3,1,1,NA,2,0,1
2020-04-06T03:45:00Z,5,4,4.5,2.5,1.5,5,0.5,2
2020-04-06T03:45:00Z,8,1,3,0,NA,2,0,1
2020-04-06T03:45:00Z,9,10,0,0,4,7,0,1
2020-04-06T03:45:00Z,15,3.5,0,4.5,NA,7,0,2
2020-04-06T03:50:00Z,1,2,0,10,3,4,0,1
2020-04-06T03:50:00Z,2,9,0,8,NA,9,0,1
2020-04-06T03:50:00Z,6,6,4,4,5,8,0,2
2020-04-06T03:50:00Z,8,1,10,4,NA,5,0,1
2020-04-06T03:50:00Z,14,10,0,10,NA,1,0,1
2020-04-06T03:50:00Z,18,8,6,9,NA,8,0,1
2020-04-06T03:55:00Z,6,10,0,7,3,0,0,1
2020-04-06T03:55:00Z,8,5.5,2,6,NA,8.5,0,2
2020-04-06T03:55:00Z,15,7,4,8,NA,1,0,1
2020-04-06T04:00:00Z,2,9,10,0,NA,10,0,1
2020-04-06T04:00:00Z,6,4.75,4.25,6.25,6.75,7.25,0.25,4
2020-04-06T04:00:00Z,8,3,5,4.5,NA,4.5,0,2
2020-04-06T04:00:00Z,11,5,8,7,5,7,0,1
2020-04-06T04:00:00Z,19,5,10,8,NA,6,0,1
2020-04-06T04:05:00Z,2,4,2,10,NA,8,0,1
2020-04-06T04:05:00Z,3,10,9,0,6,10,0,1
2020-04-06T04:05:00Z,6,10,5,5,8,9,0,1
2020-04-06T04:05:00Z,8,4,6.5,6,NA,4.5,0,2
2020-04-06T04:05:00Z,9,4,5,3,6,3,0,1
2020-04-06T04:05:00Z,14,8,4,9,NA,10,0,1
2020-04-06T04:05:00Z,15,3,5,10,NA,2,0,1
2020-04-06T04:05:00Z,18,3,10,7,NA,9,0,1
2020-04-06T04:10:00Z,8,3.75,6,4.5,NA,2.75,0,4
2020-04-06T04:10:00Z,9,10,10,0,0,8,0,1
2020-04-06T04:10:00Z,15,10,6,2,NA,2,0,1
2020-04-06T04:10:00Z,16,4,5,7,3,8,0,1
2020-04-06T04:10:00Z,17,2,6,10,NA,3,0,1
2020-04-06T04:15:00Z,1,3,8,3,3,6,0,1
2020-04-06T04:15:00Z,2,4,3.5,9,NA,9,0,2
2020-04-06T04:15:00Z,4,4,1,9,NA,9,0,1
2020-04-06T04:15:00Z,5,6.666666666666667,4.333333333333333,7,4.333333333333333,6,0,3
2020-04-06T04:15:00Z,6,10,9,10,8,6,0,1
2020-04-06T04:15:00Z,8,8.5,4.5,6.5,NA,3,0,2
2020-04-06T04:15:00Z,9,10,7,3,10,4,0,1
2020-04-06T04:15:00Z,14,7,1,10,NA,1,0,1
2020-04-06T04:20:00Z,6,4.5,3.5,9,7,9,0,2
2020-04-06T04:20:00Z,9,10,9,8,10,1,0,1
2020-04-06T04:20:00Z,15,0,5,3,NA,2,0,1
2020-04-06T04:20:00Z,19,0,0,5,NA,7,0,1
2020-04-06T04:25:00Z,2,10,5,6,NA,1,0,1
2020-04-06T04:25:00Z,4,5,4,10,NA,3,0,1
2020-04-06T04:25:00Z,6,5.5,8,7,6.5,4,0,2
2020-04-06T04:25:00Z,8,7,10,10,NA,2,0,1
2020-04-06T04:25:00Z,14,3,8,5,NA,10,0,1
2020-04-06T04:25:00Z,15,9,10,6,NA,6,0,1
2020-04-06T04:30:00Z,6,1,5,10,5,2,0,1
2020-04-06T04:30:00Z,8,6.5,4.5,9,NA,3.5,0,2
2020-04-06T04:30:00Z,9,8,6,7,2.5,5.5,0,2
2020-04-06T04:30:00Z,10,9,4,3,NA,10,1,1
2020-04-06T04:30:00Z,14,7,10,4,NA,5,0,1
2020-04-06T04:30:00Z,15,10,10,9,NA,8,1,1
2020-04-06T04:35:00Z,2,10,3,3,NA,10,1,1
2020-04-06T04:35:00Z,8,8,0,8,NA,9,0,1
2020-04-06T04:35:00Z,14,10,1,10,NA,2,0,1
2020-04-06T04:35:00Z,15,7,8,5,NA,8,0,2
2020-04-06T04:40:00Z,1,10,3,7,8,2,0,1
2020-04-06T04:40:00Z,2,5,7,10,NA,1,0,1
2020-04-06T04:40:00Z,15,1,0,0,NA,6,0,1
2020-04-06T04:40:00Z,19,2,4,4,NA,5,0,1
2020-04-06T04:45:00Z,5,3,10,10,3,6,0,1
2020-04-06T04:45:00Z,6,7,6,4,10,0,0,1
2020-04-06T04:45:00Z,8,10,9,5,NA,5,1,1
2020-04-06T04:45:00Z,15,10,1,10,NA,3,0,1
2020-04-06T04:50:00Z,5,8,10,10,4,2,0,1
2020-04-06T04:50:00Z,14,3,7,7,NA,10,0,1
2020-04-06T04:50:00Z,15,3,7,3,NA,4,0,1
2020-04-06T04:50:00Z,18,1,3,0,NA,8,0,1
2020-04-06T04:55:00Z,8,8,8,0,NA,8,0,1
2020-04-06T04:55:00Z,9,7.5,5,3.5,8.5,5.5,0,2
2020-04-06T04:55:00Z,14,6,7,6,NA,7,0,1
2020-04-06T05:00:00Z,2,0,5.5,5,NA,5.5,0,2
2020-04-06T05:00:00Z,15,3,2,1,NA,3,0,1
2020-04-06T05:00:00Z,19,1,4,4,NA,5,0,1
2020-04-06T05:05:00Z,2,8,7.5,4,NA,4,0.5,2
2020-04-06T05:05:00Z,5,0,8,0,7,10,0,1
2020-04-06T05:05:00Z,6,2,10,8,6,10,1,1
2020-04-06T05:05:00Z,15,8,5,2,NA,5,0,1
2020-04-06T05:10:00Z,2,10,4,4,NA,9,0,1
2020-04-06T05:10:00Z,6,7,4,7,3,6,0,4
2020-04-06T05:10:00Z,12,7,9,10,NA,3,0,1
2020-04-06T05:10:00Z,15,5,9,8,NA,10,0,1
2020-04-06T05:10:00Z,16,9,6,4,4,5,0,1
2020-04-06T05:15:00Z,2,0,3,10,NA,8,0,1
2020-04-06T05:15:00Z,4,6,5,5,NA,4,0,1
2020-04-06T05:15:00Z,5,3,10,10,10,8,1,1
2020-04-06T05:15:00Z,8,4,0,0,NA,0,1,1
2020-04-06T05:15:00Z,10,2,8,1,NA,10,0,1
2020-04-06T05:15:00Z,15,10,5,7,NA,10,0,1
2020-04-06T05:15:00Z,16,8,10,6,4,8,1,1
2020-04-06T05:15:00Z,18,10,8,2,NA,0,0,1
2020-04-06T05:20:00Z,1,10,10,0,7,5,0,1
2020-04-06T05:20:00Z,2,10,3,3,NA,2,0,1
2020-04-06T05:20:00Z,3,3.5,8.5,6.5,4,7.5,0,2
2020-04-06T05:20:00Z,6,6,2.5,8,2.5,7.5,0,2
2020-04-06T05:20:00Z,8,5.333333333333333,4,2.6666666666666665,NA,2.3333333333333335,0,3
2020-04-06T05:20:00Z,12,10,6,4,NA,7,0,1
2020-04-06T05:20:00Z,14,1,4,0,NA,6,0,1
2020-04-06T05:20:00Z,15,10,8,10,NA,3,0,1
2020-04-06T05:20:00Z,18,5,8,9,NA,10,0,1
2020-04-06T05:25:00Z,4,5,9,7,NA,1,0,1
2020-04-06T05:25:00Z,9,7,8,0.5,3,4,0,2
2020-04-06T05:25:00Z,11,10,0,10,2,5,0,1
2020-04-06T05:25:00Z,15,8,8,0,NA,10,0,1
2020-04-06T05:25:00Z,18,10,6,0,NA,7,0,1
2020-04-06T05:30:00Z,2,3,9,5,NA,9,0,1
2020-04-06T05:30:00Z,3,0,3,10,9,3,0,1
2020-04-06T05:30:00Z,5,0,10,10,5,2,0,1
2020-04-06T05:30:00Z,6,2,5,9,8,3,0,1
2020-04-06T05:30:00Z,15,10,4,1,NA,4,0,1
2020-04-06T05:30:00Z,18,5,10,8,NA,9,0,1
2020-04-06T05:35:00Z,3,2,6,2,4,3,1,1
2020-04-06T05:35:00Z,6,7.5,0.5,6.5,5,8.5,0.5,2
2020-04-06T05:35:00Z,8,1,6,9,NA,6,0,1
2020-04-06T05:35:00Z,9,2,3,3,0,7,0,1
2020-04-06T05:35:00Z,15,10,8,9,NA,1,0,1
2020-04-06T05:35:00Z,19,4,4,6,NA,10,0,1
2020-04-06T05:40:00Z,3,4.666666666666667,8.333333333333334,5.333333333333333,5.666666666666667,4.666666666666667,0,3
2020-04-06T05:40:00Z,5,9,10,5,8,9,0,1
2020-04-06T05:40:00Z,6,3,0,0,7,8,0,1
2020-04-06T05:40:00Z,9,9,7,10,10,9,0,1
2020-04-06T05:40:00Z,15,5,6,5,NA,6,0,1
2020-04-06T05:40:00Z,16,3.5,5.5,10,7,5.5,0,2
2020-04-06T05:40:00Z,17,0,5,2,NA,10,0,1
2020-04-06T05:45:00Z,3,5.5,7,5,8,8,0,2
2020-04-06T05:45:00Z,5,9,6,3,1,8,0,1
2020-04-06T05:45:00Z,6,10,5,10,10,3,0,1
2020-04-06T05:45:00Z,7,NA,3,1,NA,NA,0,1
2020-04-06T05:45:00Z,8,10,4,8,NA,1,1,1
2020-04-06T05:45:00Z,9,8,8,6,4,9.333333333333334,0,3
2020-04-06T05:45:00Z,14,4,8,8,NA,7,0,1
2020-04-06T05:45:00Z,15,4,0,7,NA,3,0,1
2020-04-06T05:50:00Z,8,1,5,10,NA,8,0,1
2020-04-06T05:50:00Z,15,3.5,2.5,6.5,NA,7,0,2
2020-04-06T05:50:00Z,18,0,9,4,NA,6,0,1
2020-04-06T05:55:00Z,2,6,7,7,NA,9,0,1
2020-04-06T05:55:00Z,4,10,8,5,NA,5,0,1
2020-04-06T05:55:00Z,5,5,7,3,9,3,0,1
2020-04-06T05:55:00Z,6,8,4.5,3.5,6,2.5,0,2
2020-04-06T05:55:00Z,9,9,9,4,2,6,0,1
2020-04-06T05:55:00Z,14,1,2,1,NA,9,0,1
2020-04-06T05:55:00Z,15,1,3,6,NA,10,0,1
2020-04-06T05:55:00Z,16,0,10,3,10,0,0,1
2020-04-06T05:55:00Z,18,5,8,10,NA,10,0,1
2020-04-06T06:00:00Z,2,1,9,8,NA,3,0,1
2020-04-06T06:00:00Z,3,8,0,7,4,10,0,1
2020-04-06T06:00:00Z,8,4,8.5,3.5,NA,6.5,0,2
2020-04-06T06:00:00Z,12,0,2,1,NA,10,0,1
2020-04-06T06:00:00Z,14,7,1,1,NA,6,1,1
2020-04-06T06:00:00Z,19,6.5,3.5,2,NA,6.5,0,2
2020-04-06T06:05:00Z,6,6,6,1,7.5,5.5,0,2
2020-04-06T06:05:00Z,8,0,9,6,NA,3,0,1
2020-04-06T06:05:00Z,9,10,10,6,3,3,0,1
2020-04-06T06:05:00Z,14,5,8,4,NA,8,0,1
2020-04-06T06:05:00Z,16,9,9,5,10,4,0,1
2020-04-06T06:10:00Z,3,5,6,5.75,6,4.75,0,4
2020-04-06T06:10:00Z,6,2.6666666666666665,7.666666666666667,3.3333333333333335,2.6666666666666665,8,0,3
2020-04-06T06:10:00Z,8,5.333333333333333,7,5.666666666666667,NA,7.666666666666667,0,3
2020-04-06T06:10:00Z,9,0,9,7,1,4,0,1
2020-04-06T06:10:00Z,11,10,10,3,7,10,1,1
